Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
8-03-24,t Harde,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW3694f,Nee,, € -   
8-03-24,t Harde,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW3694f,Nee,, € -   
8-03-24,Oudehorne,Fryslân,Minipaard,,,,1,1,wolf,gemixt profiel,Nee,, € -   
8-03-24,Otterlo,Gelderland,Pony('s),1,,,,1,wolf,gemixt profiel,Nee,, € -   
8-03-24,Hoogersmilde,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW3812m,"Ja, maar",op enkele plaatsen is de onderste draad te hoog, € -   
7-03-24,Koekange,Drenthe,Scha(a)p(en),2,,,1,3,wolf,GW3689m,Nee,, € -   
7-03-24,Beilen,Drenthe,Scha(a)p(en),2,1,,,2,wolf,GW3813m,"Ja, maar","Eén paal was afgebroken, waardoor de onderste draad te hoog was", € -   
7-03-24,Dwingeloo,Drenthe,Scha(a)p(en),5,,,8,13,wolf,GW3690m; GW3812m,Nee,, € -   
7-03-24,Oldeberkoop,Fryslân,Scha(a)p(en),12,,,7,19,wolf,GW2090f; gemixt profiel,Nee,, € -   
7-03-24,Oudehorne,Fryslân,Scha(a)p(en),3,,,3,6,wolf,GW3882m; GW4009m; gemixt profiel,Nee,, € -   
6-03-24,Dwingeloo,Drenthe,Scha(a)p(en),4,7,,,4,wolf,GW3812m; GW3813m,Nee,, € -   
5-03-24,Dwingeloo,Drenthe,Scha(a)p(en),5,9,,,5,wolf,GW3690m; GW3813m,Nee,, € -   
4-03-24,Putten,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW4004f,Nee,, € -   
4-03-24,Lunteren,Gelderland,Geit(en),1,,,,1,wolf,GW3692m,Nee,, € -   
3-03-24,Nunspeet,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW3694f,Nee,, € -   
3-03-24,Nunspeet,Gelderland,Scha(a)p(en),7,,,2,9,wolf,onbekend,Nee,, € -   
2-03-24,Beilen,Drenthe,Scha(a)p(en),1,3,,2,3,wolf,GW3813m,Nee,, € -   
2-03-24,Garderen,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW4004f?,Nee,, € -   
1-03-24,Dwingeloo,Drenthe,Scha(a)p(en),9,8,,,9,wolf,GW3690m; GW3813m; gemixt profiel,Nee,, € -   
1-03-24,Dwingeloo,Drenthe,Scha(a)p(en),3,6,,2,5,wolf,GW3812m; gemixt profiel,Nee,, € -   
1-03-24,Dwingeloo,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW3812m,Ja,, € -   
