Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling ,latitude,longitude,year_month
2024-03-28,Eesveen,Overijssel,Scha(a)p(en),4.0,4.0,2.0,,4,wolf,onbekend,Nee,, € -   ,52.824671,6.1418966,2024-03
2024-03-28,Lunteren,Gelderland,Scha(a)p(en),2.0,,,,2,wolf,gemixt profiel,Nee,, € -   ,52.0864617,5.6190737,2024-03
2024-03-27,Aalst,Gelderland,Scha(a)p(en),3.0,,2.0,,3,wolf,GW2398m,Nee,, € -   ,50.9383226,4.0392147,2024-03
2024-03-27,Lunteren,Gelderland,Scha(a)p(en),4.0,1.0,1.0,3.0,7,wolf,GW2435m; GW3691f; gemixt profiel,Nee,, € -   ,52.0864617,5.6190737,2024-03
2024-03-27,Nederhemert,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW2398m,,,  ,51.7645631,5.1652605,2024-03
2024-03-27,Fochteloo,Fryslân,Scha(a)p(en),10.0,6.0,7.0,12.0,22,wolf,GW2397m,,,  ,52.993346,6.3346246,2024-03
2024-03-26,Ermelo,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW4004f,,, € -   ,52.2858356,5.654938589920705,2024-03
2024-03-25,Beilen,Drenthe,Scha(a)p(en),3.0,,,,3,wolf,GW3813m,Nee,, € -   ,52.8610999,6.5124319,2024-03
2024-03-25,Fluitenberg,Drenthe,Scha(a)p(en),1.0,1.0,,,1,wolf,onbekend,Nee,, € -   ,52.736545,6.4524098,2024-03
2024-03-24,Beilen,Drenthe,Scha(a)p(en),1.0,1.0,,,1,wolf,GW3813m,Nee,, € -   ,52.8610999,6.5124319,2024-03
2024-03-23,Leersum,Utrecht,Scha(a)p(en),5.0,,,,5,wolf,GW4076f,Nee,, € -   ,52.0102642,5.4332757,2024-03
2024-03-23,Wekerom,Gelderland,Pony('s),1.0,1.0,,,1,wolf,GW3691f; gemixt profiel,,, € -   ,52.1118306,5.7157689,2024-03
2024-03-21,Wateren,Drenthe,Rund(eren),1.0,,,,1,wolf,GW4009m,Nee,, € -   ,52.9061348,6.2889409,2024-03
2024-03-21,Rijswijk,Gelderland,Scha(a)p(en),2.0,1.0,,1.0,3,wolf,GW2398m,Nee,, € -   ,52.0446265,4.3188215,2024-03
2024-03-21,Oosterwolde,Fryslân,Scha(a)p(en),5.0,12.0,,,5,wolf,GW3690m,Nee,, € -   ,52.9892251,6.2908202,2024-03
2024-03-20,Hulshorst,Gelderland,Scha(a)p(en),2.0,1.0,,,2,wolf,GW3694f,Nee,, € -   ,52.3607721,5.7205644,2024-03
2024-03-20,Ruinerwold,Drenthe,Scha(a)p(en),2.0,,,,2,wolf,GW3689m,Nee,, € -   ,52.7216745,6.2459797,2024-03
2024-03-20,Rijswijk,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW2398m,Nee,, € -   ,52.0446265,4.3188215,2024-03
2024-03-19,Maurik,Gelderland,Scha(a)p(en),9.0,,,,9,wolf,GW2398m,Nee,, € -   ,51.9608641,5.4233334,2024-03
2024-03-19,Wekerom,Gelderland,Scha(a)p(en),3.0,1.0,,,3,wolf,gemixt profiel,Nee,, € -   ,52.1118306,5.7157689,2024-03
2024-03-17,Leusden,Utrecht,Scha(a)p(en),1.0,,,1.0,2,wolf,GW4076f,Nee,, € -   ,52.130355,5.4286989,2024-03
2024-03-17,Ruinerwold,Drenthe,Scha(a)p(en),2.0,,,,2,wolf,GW3689m,Nee,, € -   ,52.7216745,6.2459797,2024-03
2024-03-16,Garderen,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW4004f,Nee,, € -   ,52.2331839,5.714073,2024-03
2024-03-16,Wamel,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3824m,Nee,, € -   ,51.8810157,5.4669683,2024-03
2024-03-15,Macharen,Noord-Brabant,Scha(a)p(en),2.0,1.0,,,2,wolf,GW3824m,Nee,,€ 519.13,51.804411,5.5447825,2024-03
2024-03-15,Appelscha,Fryslân,Scha(a)p(en),7.0,7.0,8.0,3.0,10,wolf,onbekend,Nee,, € -   ,52.9524178,6.3441136,2024-03
2024-03-13,Oosterwolde,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3694f,Nee,, € -   ,52.9892251,6.2908202,2024-03
2024-03-13,Noordeinde,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,-32.3376999,22.5780746,2024-03
2024-03-13,Doornspijk,Gelderland,Scha(a)p(en),1.0,,,,1,vermoedelijk wolf,,Nee,, € -   ,52.4194984,5.8208683,2024-03
2024-03-13,Ede,Gelderland,Scha(a)p(en),6.0,,,2.0,8,wolf,GW3876f,Nee,, € -   ,52.07168255,5.745510631034939,2024-03
2024-03-13,Swifterbant,Flevoland,Scha(a)p(en),2.0,,,,2,wolf,GW3694f,Nee,, € -   ,52.5696313,5.6385192,2024-03
2024-03-13,Leusden,Utrecht,Scha(a)p(en),1.0,1.0,,,1,wolf,GW4076f,Nee,, € -   ,52.130355,5.4286989,2024-03
2024-03-13,Voorthuizen,Gelderland,Scha(a)p(en),2.0,4.0,,,2,wolf,onbekend,Nee,, € -   ,52.1871648,5.6071994,2024-03
2024-03-13,Appelscha,Fryslân,Scha(a)p(en),8.0,5.0,7.0,3.0,11,wolf,GW4009m; gemixt profiel,Nee,, € -   ,52.9524178,6.3441136,2024-03
2024-03-12,Ruinerwold,Drenthe,Scha(a)p(en),5.0,2.0,,,5,wolf,GW3689m,Nee,, € -   ,52.7216745,6.2459797,2024-03
2024-03-12,Dronten,Flevoland,Scha(a)p(en),4.0,2.0,,,4,wolf,GW3694f,Nee,, € -   ,52.5236608,5.7160381,2024-03
2024-03-12,Noordwolde,Fryslân,Scha(a)p(en),3.0,,,,3,wolf,GW3813m; gemixt profiel,Nee,, € -   ,52.8909993,6.1391286,2024-03
2024-03-12,Elspeet,Gelderland,Scha(a)p(en),1.0,,,2.0,3,wolf,GW4004f,Ja,, € -   ,52.2910649,5.7884632,2024-03
2024-03-12,Ede,Gelderland,Scha(a)p(en),3.0,,,,3,wolf,GW3876f,Nee,, € -   ,52.07168255,5.745510631034939,2024-03
2024-03-12,Oudehorne,Fryslân,Scha(a)p(en),5.0,,7.0,,5,wolf,GW4009m,Nee,, € -   ,52.9638473,6.0848079,2024-03
2024-03-11,Beilen,Drenthe,Scha(a)p(en),3.0,,,,3,wolf,GW3813m,Nee,, € -   ,52.8610999,6.5124319,2024-03
2024-03-11,Harskamp,Gelderland,Pony('s),3.0,,,,3,wolf,gemixt profiel,Nee,, € -   ,52.1316634,5.75085,2024-03
2024-03-11,Uffelte,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,52.7908929,6.2815178,2024-03
2024-03-10,Beilen,Drenthe,Scha(a)p(en),1.0,1.0,2.0,,1,wolf,GW3813m,Nee,, € -   ,52.8610999,6.5124319,2024-03
2024-03-10,Dwingeloo,Drenthe,Scha(a)p(en),,,4.0,2.0,2,wolf,GW3813m,Nee,, € -   ,52.8333073,6.3669053,2024-03
2024-03-10,Noordeinde,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3694f,Nee,, € -   ,-32.3376999,22.5780746,2024-03
2024-03-09,Swifterbant,Flevoland,Scha(a)p(en),5.0,,,,5,wolf,GW3694f,Nee,, € -   ,52.5696313,5.6385192,2024-03
2024-03-09,Otterlo,Gelderland,Geit(en),1.0,,,,1,wolf,GW3691f,Nee,, € -   ,52.1015221,5.7720779,2024-03
2024-03-09,Oosterwolde,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3694f,Nee,, € -   ,52.9892251,6.2908202,2024-03
2024-03-09,Voorthuizen,Gelderland,Scha(a)p(en),1.0,1.0,,1.0,2,wolf,GW3425m; GW3816f,Nee,, € -   ,52.1871648,5.6071994,2024-03
2024-03-09,Oudehorne,Fryslân,Scha(a)p(en); Geit(en),4.0,4.0,,4.0,8,wolf,GW4009m,Nee,, € -   ,52.9638473,6.0848079,2024-03
2024-03-08,Oldebroek,Gelderland,Scha(a)p(en),2.0,,,,2,wolf,onbekend,Nee,, € -   ,52.45673635,5.951864370961877,2024-03
2024-03-08,t Harde,Gelderland,Scha(a)p(en),2.0,,,,2,wolf,GW3694f,Nee,, € -   ,52.4091474,5.8930152,2024-03
2024-03-08,t Harde,Gelderland,Scha(a)p(en),2.0,,,,2,wolf,GW3694f,Nee,, € -   ,52.4091474,5.8930152,2024-03
2024-03-08,Oudehorne,Fryslân,Minipaard,,,,1.0,1,wolf,gemixt profiel,Nee,, € -   ,52.9638473,6.0848079,2024-03
2024-03-08,Otterlo,Gelderland,Pony('s),1.0,,,,1,wolf,gemixt profiel,Nee,, € -   ,52.1015221,5.7720779,2024-03
2024-03-08,Hoogersmilde,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,GW3812m,"Ja, maar",op enkele plaatsen is de onderste draad te hoog, € -   ,52.91299375,6.366868725936132,2024-03
2024-03-07,Koekange,Drenthe,Scha(a)p(en),2.0,,,1.0,3,wolf,GW3689m,Nee,, € -   ,52.7017754,6.3180238,2024-03
