Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
30-11-22;Heerde;Gelderland;Wolf gezien;C1,
30-11-22;Heerde;Gelderland;Wolf gezien;C1,
30-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
30-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-11-22;Midden-Drenthe;Drenthe;Wolf gezien;C1,
27-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
27-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
26-11-22;Arnhem;Gelderland;Wolf gezien;C1,
26-11-22;Ede;Gelderland;Wolf gezien;C1,
25-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
25-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
25-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
25-11-22;Arnhem;Gelderland;Wolf gezien;C1,
24-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-11-22;Coevorden;Drenthe;Wolvenkeutel;C2,
24-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
24-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
23-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
23-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
22-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-11-22;Westerveld;Drenthe;Wolf gezien;C1,
21-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-11-22;Heerde;Gelderland;Wolf gezien;C1,
21-11-22;Heerde;Gelderland;Wolf gezien;C1,
21-11-22;Westerveld;Drenthe;Wolf gezien;C1,
20-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
