Datum waarneming,Leefgebied of gemeente,Provincie,Type waarneming,Classificering,latitude,longitude
9-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
9-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
9-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
9-05-24,Leusden,Utrecht,Wolvenkeutel,C1,52.130355,5.4286989
9-05-24,Leusden,Utrecht,Wolvenkeutel,C1,52.130355,5.4286989
9-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
8-05-24,Leusden,Utrecht,Wolvenkeutel,C1,52.130355,5.4286989
8-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
8-05-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
8-05-24,Borger-Odoorn,Drenthe,Wolf gezien,C1,52.9000925,6.8821614819282875
8-05-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
